company_name,company_raw,is_staffing,company_id
Crowe,Crowe,False,0
The Devereux Foundation,The Devereux Foundation,False,1
Elder Research,Elder Research,False,2
NTT DATA,NTT DATA Inc,False,3
Frederick National Laboratory For Cancer Research,Frederick National Laboratory for Cancer Research,False,4
Haven Technologies,Haven Technologies,False,5
University of the Incarnate Word,University of the Incarnate Word,False,6
State Of Connecticut,"State of Connecticut, Department of Administrative Services",False,7
ICU Medical,ICU Medical,False,8
Marken,Marken,False,9
Allianz,AZGROUPPROD,False,10
Audacious Inquiry,Audacious Inquiry,False,11
Aquent,Aquent,True,12
Information Resource Group Incorporated,"Information Resource Group, Inc.",False,13
On Assignment,"ECS Federal, LLC",True,14
International Solutions Group,International Solutions Group,False,15
JPMorgan Chase,JPMorgan Chase & Co,False,16
Crawford & Company,Crawford & Company,False,17
Abbott Laboratories,1003 Abbott Laboratories,False,18
The Gemini 3 Group,"The Gemini 3 Group, Inc.",False,19
Pointclickcare,PointClickCare,False,20
It Avalon,IT Avalon,True,21
Nextgen Solutions,NextGen Solutions Corp,True,22
Medline Industries,"Medline Industries, Inc.",False,23
Certec Consulting,Certec Consulting,False,24
U-Haul,U-Haul,False,25
PNM Resources,PNM Resources,False,26
Walmart,"Wal-Mart Stores East, LP",False,27
Carlisle,Carlisle,False,28
FirstEnergy,FirstEnergy Corp,False,29
Atrius Health,Atrius Health,False,30
Skybridge Healthcare,SkyBridge Healthcare,True,31
Intelligenesis,IntelliGenesis LLC,False,32
City Of Tempe,City of Tempe Arizona,False,33
West Star Aviation,"West Star Aviation, LLC",False,34
Second Harvest Food Bank,Second Harvest Food Bank of Orange County,False,35
Tanson Technology Group,Tanson Corp,False,36
Fluxtek International Corp,Fluxtek,False,37
Media Plumbing & Heating,Kinetix,False,38
Magellan Health Services,"Magellan Health Services, Inc.",False,39
Mettler Toledo,Mettler-Toledo International Inc,False,40
Nesco Resource,"Nesco Resource, LLC",True,41
Akers Capital,Akers capital Inc.,False,42
Delphi,Delphi-US,True,43
Walmart,"Wal-Mart.com USA, LLC",False,44
Trinity It Services,Trinity IT Services,False,45
Unclassified,ProAxis Consulting,False,46
Canadian National Railway,Canadian National Railway,False,47
Ernst & Young,Ernst & Young,False,48
Itek People,"iTek People, Inc.",False,49
LCG Crexi,Crexi,False,50
"Gem Technology International, Corp.",GEM Technology,False,51
Unclassified,Cornerstone Geotech Services LLC,False,52
Compass Strategy Solutions,Compass Strategy Solutions,False,53
Juniper Solutions,"Juniper Solutions, Inc.",False,54
"Technology, Automation, And Management (Team)","Technology, Automation, and Management, Inc.",False,55
Oct Consulting,OCT CONSULTING LLC,False,56
Unclassified,"Pros2Plan LLC, a Spinnaker SCA Subsidiary",False,57
Meetfrank,MeetFrank,False,58
MedStar Health,MedStar Medical Group,False,59
